,Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
0,Chona,2022-08-21 19:54:53,00:02:54,,Community: Temporada 3: Teoría del caos correctivo (Capítulo 4),,Apple Apple TV 4 Apple TV,00:02:55,00:02:55,AR (Argentina)
1,Chona,2022-08-21 19:33:17,00:21:33,,Community: Temporada 3: Ecología competitiva (Capítulo 3),,Apple Apple TV 4 Apple TV,00:21:33,00:21:33,AR (Argentina)
2,Chona,2022-08-21 19:11:40,00:21:28,,Community: Temporada 3: Geografía del conflicto global (Capítulo 2),,Apple Apple TV 4 Apple TV,00:21:28,00:21:28,AR (Argentina)
3,Chona,2022-08-21 18:50:27,00:20:41,,Community: Temporada 2: Intermediate Documentary Filmmaking (Capítulo 15),,Apple Apple TV 4 Apple TV,00:21:02,00:21:02,AR (Argentina)
4,Chona,2022-08-21 18:16:34,00:21:20,,Community: Temporada 3: El documental (Capítulo 8),,Apple Apple TV 4 Apple TV,00:21:21,00:21:21,AR (Argentina)
5,Chona,2022-08-21 17:24:46,00:20:40,,Community: Temporada 3: Estudios sobre movimiento moderno (Capítulo 7),,Apple Apple TV 4 Apple TV,00:20:40,00:20:40,AR (Argentina)
6,Chona,2022-08-21 16:56:20,00:21:42,,Community: Temporada 3: Un cuento de terror en siete aterradores pasos (Capítulo 5),,Apple Apple TV 4 Apple TV,00:21:00,00:21:00,AR (Argentina)
7,Chona,2022-08-21 16:34:12,00:21:19,,Community: Temporada 3: Teoría del caos correctivo (Capítulo 4),,Apple Apple TV 4 Apple TV,00:21:20,Not latest view,AR (Argentina)
8,Chona,2022-08-21 16:20:30,00:01:59,,Community: Temporada 1: Social Psychology (Capítulo 4),,Apple Apple TV 4 Apple TV,00:01:56,00:01:56,AR (Argentina)
9,Chona,2022-08-21 16:16:40,00:00:16,,Community: Temporada 1: Community (Capítulo 1),,Apple Apple TV 4 Apple TV,00:00:16,00:00:16,AR (Argentina)
10,Chona,2022-08-18 23:47:55,00:53:26,,The Good Place: Temporada 4: Cuando estén listos (Capítulo 13),,Apple Apple TV 4 Apple TV,00:52:43,00:52:43,AR (Argentina)
11,Chona,2022-08-18 23:26:26,00:21:28,,The Good Place: Temporada 4: Patty (Capítulo 12),,Apple Apple TV 4 Apple TV,00:21:36,00:21:36,AR (Argentina)
12,Chona,2022-08-18 23:03:47,00:22:14,,"The Good Place: Temporada 4: Lunes, ¿verdad? (Capítulo 11)",,Apple Apple TV 4 Apple TV,00:21:33,00:21:33,AR (Argentina)
13,Chona,2022-08-18 02:51:39,00:21:23,,"The Good Place: Temporada 4: Cambiaste, compadre (Capítulo 10)",,Apple Apple TV 4 Apple TV,00:21:32,00:21:32,AR (Argentina)
